 ,Label,Area,Mean,StdDev,Min,Max,Slice
243,22946173.tif:Blue,294,255,0,255,255,3
244,22946173.tif:Blue,443,255,0,255,255,3
245,22946173.tif:Blue,261,255,0,255,255,3
246,22946173.tif:Blue,447,255,0,255,255,3
247,22946173.tif:Blue,236,255,0,255,255,3
248,22946173.tif:Blue,382,255,0,255,255,3
249,22946173.tif:Blue,339,255,0,255,255,3
250,22946173.tif:Blue,224,255,0,255,255,3
251,22946173.tif:Blue,445,255,0,255,255,3
252,22946173.tif:Blue,324,255,0,255,255,3
253,22946173.tif:Blue,362,255,0,255,255,3
254,22946173.tif:Blue,285,255,0,255,255,3
255,22946173.tif:Blue,225,255,0,255,255,3
256,22946173.tif:Blue,255,255,0,255,255,3
257,22946173.tif:Blue,243,255,0,255,255,3
258,22946173.tif:Blue,256,255,0,255,255,3
259,22946173.tif:Blue,264,255,0,255,255,3
260,22946173.tif:Blue,257,255,0,255,255,3
261,22946173.tif:Blue,392,255,0,255,255,3
262,22946173.tif:Blue,213,255,0,255,255,3
263,22946173.tif:Blue,252,255,0,255,255,3
264,22946173.tif:Blue,287,255,0,255,255,3
265,22946173.tif:Blue,261,255,0,255,255,3
266,22946173.tif:Blue,274,255,0,255,255,3
267,22946173.tif:Blue,389,255,0,255,255,3
268,22946173.tif:Blue,275,255,0,255,255,3
269,22946173.tif:Blue,359,255,0,255,255,3
270,22946173.tif:Blue,235,255,0,255,255,3
271,22946173.tif:Blue,433,255,0,255,255,3
272,22946173.tif:Blue,231,255,0,255,255,3
273,22946173.tif:Blue,282,255,0,255,255,3
274,22946173.tif:Blue,488,255,0,255,255,3
275,22946173.tif:Blue,356,255,0,255,255,3
276,22946173.tif:Blue,480,255,0,255,255,3
277,22946173.tif:Blue,240,255,0,255,255,3
278,22946173.tif:Blue,258,255,0,255,255,3
279,22946173.tif:Blue,270,255,0,255,255,3
280,22946173.tif:Blue,288,255,0,255,255,3
281,22946173.tif:Blue,309,255,0,255,255,3
282,22946173.tif:Blue,396,255,0,255,255,3
283,22946173.tif:Blue,331,255,0,255,255,3
284,22946173.tif:Blue,402,255,0,255,255,3
285,22946173.tif:Blue,346,255,0,255,255,3
286,22946173.tif:Blue,229,255,0,255,255,3
287,22946173.tif:Blue,226,255,0,255,255,3
288,22946173.tif:Blue,332,255,0,255,255,3
289,22946173.tif:Blue,290,255,0,255,255,3
290,22946173.tif:Blue,387,255,0,255,255,3
291,22946173.tif:Blue,346,255,0,255,255,3
292,22946173.tif:Blue,338,255,0,255,255,3
293,22946173.tif:Blue,241,255,0,255,255,3
294,22946173.tif:Blue,314,255,0,255,255,3
295,22946173.tif:Blue,276,255,0,255,255,3
296,22946173.tif:Blue,304,255,0,255,255,3
297,22946173.tif:Blue,258,255,0,255,255,3
298,22946173.tif:Blue,360,255,0,255,255,3
299,22946173.tif:Blue,232,255,0,255,255,3
300,22946173.tif:Blue,318,255,0,255,255,3
301,22946173.tif:Blue,329,255,0,255,255,3
302,22946173.tif:Blue,351,255,0,255,255,3
303,22946173.tif:Blue,318,255,0,255,255,3
304,22946173.tif:Blue,442,255,0,255,255,3
305,22946173.tif:Blue,323,255,0,255,255,3
306,22946173.tif:Blue,336,255,0,255,255,3
307,22946173.tif:Blue,308,255,0,255,255,3
308,22946173.tif:Blue,152,255,0,255,255,3
309,22946173.tif:Blue,257,255,0,255,255,3
310,22946173.tif:Blue,258,255,0,255,255,3
311,22946173.tif:Blue,401,255,0,255,255,3
312,22946173.tif:Blue,497,255,0,255,255,3
313,22946173.tif:Blue,282,255,0,255,255,3
314,22946173.tif:Blue,314,255,0,255,255,3
315,22946173.tif:Blue,299,255,0,255,255,3
316,22946173.tif:Blue,268,255,0,255,255,3
317,22946173.tif:Blue,164,255,0,255,255,3
318,22946173.tif:Blue,311,255,0,255,255,3
319,22946173.tif:Blue,363,255,0,255,255,3
320,22946173.tif:Blue,263,255,0,255,255,3
321,22946173.tif:Blue,486,255,0,255,255,3
322,22946173.tif:Blue,316,255,0,255,255,3
323,22946173.tif:Blue,280,255,0,255,255,3
324,22946173.tif:Blue,364,255,0,255,255,3
325,22946173.tif:Blue,463,255,0,255,255,3
326,22946173.tif:Blue,358,255,0,255,255,3
327,22946173.tif:Blue,285,255,0,255,255,3
328,22946173.tif:Blue,324,255,0,255,255,3
329,22946173.tif:Blue,311,255,0,255,255,3
330,22946173.tif:Blue,306,255,0,255,255,3
331,22946173.tif:Blue,319,255,0,255,255,3
332,22946173.tif:Blue,298,255,0,255,255,3
333,22946173.tif:Blue,288,255,0,255,255,3
334,22946173.tif:Blue,305,255,0,255,255,3
335,22946173.tif:Blue,305,255,0,255,255,3
336,22946173.tif:Blue,281,255,0,255,255,3
337,22946173.tif:Blue,373,255,0,255,255,3
338,22946173.tif:Blue,367,255,0,255,255,3
339,22946173.tif:Blue,396,255,0,255,255,3
340,22946173.tif:Blue,272,255,0,255,255,3
341,22946173.tif:Blue,361,255,0,255,255,3
342,22946173.tif:Blue,328,255,0,255,255,3
343,22946173.tif:Blue,304,255,0,255,255,3
344,22946173.tif:Blue,463,255,0,255,255,3
345,22946173.tif:Blue,285,255,0,255,255,3
346,22946173.tif:Blue,298,255,0,255,255,3
347,22946173.tif:Blue,300,255,0,255,255,3
348,22946173.tif:Blue,296,255,0,255,255,3
349,22946173.tif:Blue,272,255,0,255,255,3
350,22946173.tif:Blue,324,255,0,255,255,3
351,22946173.tif:Blue,313,255,0,255,255,3
352,22946173.tif:Blue,285,255,0,255,255,3
353,22946173.tif:Blue,297,255,0,255,255,3
354,22946173.tif:Blue,407,255,0,255,255,3
355,22946173.tif:Blue,331,255,0,255,255,3
356,22946173.tif:Blue,269,255,0,255,255,3
357,22946173.tif:Blue,325,255,0,255,255,3
358,22946173.tif:Blue,331,255,0,255,255,3
359,22946173.tif:Blue,295,255,0,255,255,3
360,22946173.tif:Blue,299,255,0,255,255,3
361,22946173.tif:Blue,314,255,0,255,255,3
362,22946173.tif:Blue,364,255,0,255,255,3
363,22946173.tif:Blue,298,255,0,255,255,3
364,22946173.tif:Blue,418,255,0,255,255,3
365,22946173.tif:Blue,436,255,0,255,255,3
366,22946173.tif:Blue,324,255,0,255,255,3
367,22946173.tif:Blue,284,255,0,255,255,3
368,22946173.tif:Blue,462,255,0,255,255,3
369,22946173.tif:Blue,221,255,0,255,255,3
370,22946173.tif:Blue,302,255,0,255,255,3
371,22946173.tif:Blue,303,255,0,255,255,3
372,22946173.tif:Blue,285,255,0,255,255,3
373,22946173.tif:Blue,280,255,0,255,255,3
374,22946173.tif:Blue,285,255,0,255,255,3
375,22946173.tif:Blue,261,255,0,255,255,3
376,22946173.tif:Blue,280,255,0,255,255,3
377,22946173.tif:Blue,321,255,0,255,255,3
378,22946173.tif:Blue,249,255,0,255,255,3
379,22946173.tif:Blue,240,255,0,255,255,3
380,22946173.tif:Blue,358,255,0,255,255,3
381,22946173.tif:Blue,315,255,0,255,255,3
382,22946173.tif:Blue,292,255,0,255,255,3
383,22946173.tif:Blue,330,255,0,255,255,3
384,22946173.tif:Blue,393,255,0,255,255,3
385,22946173.tif:Blue,289,255,0,255,255,3
386,22946173.tif:Blue,393,255,0,255,255,3
387,22946173.tif:Blue,374,255,0,255,255,3
388,22946173.tif:Blue,477,255,0,255,255,3
389,22946173.tif:Blue,302,255,0,255,255,3
390,22946173.tif:Blue,290,255,0,255,255,3
391,22946173.tif:Blue,348,255,0,255,255,3
392,22946173.tif:Blue,286,255,0,255,255,3
393,22946173.tif:Blue,307,255,0,255,255,3
394,22946173.tif:Blue,361,255,0,255,255,3
395,22946173.tif:Blue,338,255,0,255,255,3
396,22946173.tif:Blue,475,255,0,255,255,3
397,22946173.tif:Blue,288,255,0,255,255,3
398,22946173.tif:Blue,327,255,0,255,255,3
399,22946173.tif:Blue,287,255,0,255,255,3
400,22946173.tif:Blue,375,255,0,255,255,3
401,22946173.tif:Blue,292,255,0,255,255,3
402,22946173.tif:Blue,276,255,0,255,255,3
403,22946173.tif:Blue,311,255,0,255,255,3
404,22946173.tif:Blue,304,255,0,255,255,3
405,22946173.tif:Blue,409,255,0,255,255,3
406,22946173.tif:Blue,293,255,0,255,255,3
407,22946173.tif:Blue,302,255,0,255,255,3
408,22946173.tif:Blue,257,255,0,255,255,3
409,22946173.tif:Blue,316,255,0,255,255,3
410,22946173.tif:Blue,291,255,0,255,255,3
411,22946173.tif:Blue,335,255,0,255,255,3
412,22946173.tif:Blue,365,255,0,255,255,3
413,22946173.tif:Blue,300,255,0,255,255,3
414,22946173.tif:Blue,275,255,0,255,255,3
415,22946173.tif:Blue,288,255,0,255,255,3
416,22946173.tif:Blue,270,255,0,255,255,3
417,22946173.tif:Blue,280,255,0,255,255,3
418,22946173.tif:Blue,167,255,0,255,255,3
419,22946173.tif:Blue,320,255,0,255,255,3
420,22946173.tif:Blue,310,255,0,255,255,3
421,22946173.tif:Blue,307,255,0,255,255,3
422,22946173.tif:Blue,269,255,0,255,255,3
423,22946173.tif:Blue,340,255,0,255,255,3
424,22946173.tif:Blue,165,255,0,255,255,3
425,22946173.tif:Blue,312,255,0,255,255,3
426,22946173.tif:Blue,309,255,0,255,255,3
427,22946173.tif:Blue,341,255,0,255,255,3
428,22946173.tif:Blue,373,255,0,255,255,3
429,22946173.tif:Blue,267,255,0,255,255,3
430,22946173.tif:Blue,326,255,0,255,255,3
431,22946173.tif:Blue,274,255,0,255,255,3
432,22946173.tif:Blue,308,255,0,255,255,3
433,22946173.tif:Blue,328,255,0,255,255,3
434,22946173.tif:Blue,320,255,0,255,255,3
435,22946173.tif:Blue,284,255,0,255,255,3
436,22946173.tif:Blue,170,255,0,255,255,3
437,22946173.tif:Blue,390,255,0,255,255,3
438,22946173.tif:Blue,316,255,0,255,255,3
439,22946173.tif:Blue,439,255,0,255,255,3
440,22946173.tif:Blue,353,255,0,255,255,3
441,22946173.tif:Blue,439,255,0,255,255,3
442,22946173.tif:Blue,270,255,0,255,255,3
443,22946173.tif:Blue,357,255,0,255,255,3
444,22946173.tif:Blue,430,255,0,255,255,3
445,22946173.tif:Blue,317,255,0,255,255,3
446,22946173.tif:Blue,281,255,0,255,255,3
447,22946173.tif:Blue,291,255,0,255,255,3
448,22946173.tif:Blue,296,255,0,255,255,3
449,22946173.tif:Blue,305,255,0,255,255,3
450,22946173.tif:Blue,306,255,0,255,255,3
451,22946173.tif:Blue,314,255,0,255,255,3
452,22946173.tif:Blue,298,255,0,255,255,3
453,22946173.tif:Blue,355,255,0,255,255,3
454,22946173.tif:Blue,309,255,0,255,255,3
455,22946173.tif:Blue,411,255,0,255,255,3
456,22946173.tif:Blue,298,255,0,255,255,3
457,22946173.tif:Blue,427,255,0,255,255,3
458,22946173.tif:Blue,397,255,0,255,255,3
459,22946173.tif:Blue,316,255,0,255,255,3
460,22946173.tif:Blue,291,255,0,255,255,3
461,22946173.tif:Blue,459,255,0,255,255,3
462,22946173.tif:Blue,287,255,0,255,255,3
463,22946173.tif:Blue,257,255,0,255,255,3
464,22946173.tif:Blue,339,255,0,255,255,3
465,22946173.tif:Blue,339,255,0,255,255,3
466,22946173.tif:Blue,380,255,0,255,255,3
467,22946173.tif:Blue,333,255,0,255,255,3
